Study_ID,Scientific_name,Common_name,N_offspring_sampled,EPY_percent,N_broods_sampled,EPP_percent,Lat,Long,nest_box,marker_type,nest_type,year_of_study_START,year_of_study_END,study_duration,breeding_start,breeding_end,Scientific_name_amended,Jetz_name,Clements_name,BIRDBASE_clements_names,breeding_system,parental_care,mono_poly_model,cooperative_breeding,body_mass,CS_max,nest_type_model,marker_type_model,nest_box_model,study_duration_num,coloniality,migration,MonoBIRDBASE,PolyBIRDBASE,n_mixed_broods,n_non_mixed_broods,n_EPY_offspring,n_WPY_offspring
128Green2002,Acanthiza_pusilla,brown_thornbill,178,6.2,67,11.9,-35.27,149.1,no,DNA_fingerprinting,DM,1995,1997,3,July,December,Acanthiza_pusilla,Acanthiza_pusilla,Acanthiza_pusilla,Acanthiza_pusilla,monogamy,biparental,NA,no,7.733333333,4,ground,DNA_fingerprinting,no,3,0,Weak,NA,NA,8,59,11,167
389Rosenfield2015,Accipiter_cooperii,Cooper’s_hawk,140,19.3,44,34.1,44.97,-90.05,no,microsatellite,PL,2003,2007,5,February,April,Accipiter_cooperii,Accipiter_cooperii,Astur_cooperii,Astur_cooperii,monogamy,biparental,NA,NA,429.6666667,6,open,microsatellite,no,5,0,Strong,NA,NA,15,29,27,113
52Leisler2000,Acrocephalus_arundinaceus,great_reed_warbler,194,9.8,48,10.4,49.67,10.85,no,DNA_fingerprinting,CP,1992,1997,6,May,July,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,monogamy,biparental,mixed,NA,33.75,6,open,DNA_fingerprinting,no,6,0,Strong,Mono,Poly,5,43,19,175
123Hasselquist1996,Acrocephalus_arundinaceus,great_reed_warbler,678,3.4,NA,NA,59.17,15.42,no,DNA_fingerprinting,CP,1987,1993,7,May,July,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,monogamy,biparental,mixed,NA,33.75,6,open,DNA_fingerprinting,no,7,0,Strong,Mono,Poly,NA,NA,23,655
36Arlt2004,Acrocephalus_arundinaceus,great_reed_warbler,543,3.13,132,6.06,59.1,15.25,no,microsatellite,CP,1994,1998,5,May,July,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,monogamy,biparental,mixed,NA,33.75,6,open,microsatellite,no,5,0,Strong,Mono,Poly,8,124,17,526
412Hamao2005,Acrocephalus_bistrigiceps,black-browed_reed-warbler,140,6.4,37,13.5,36.87,139.05,no,microsatellite,CP,1993,1997,5,May,July,Acrocephalus_bistrigiceps,Acrocephalus_bistrigiceps,Acrocephalus_bistrigiceps,Acrocephalus_bistrigiceps,monogamy,biparental,mixed,NA,9.65,6,open,microsatellite,no,5,0,Strong,Mono,Poly,5,32,9,131
51Leisler2000,Acrocephalus_palustris,marsh_warbler,131,3.1,33,9.1,50.37,10.75,no,DNA_fingerprinting,CP,1994,1996,3,NA,NA,Acrocephalus_palustris,Acrocephalus_palustris,Acrocephalus_palustris,Acrocephalus_palustris,monogamy,biparental,mixed,NA,13.4,6,open,DNA_fingerprinting,no,3,0,Strong,Mono,Poly,3,30,4,127
20Langefors1998,Acrocephalus_schoenobaenus,sedge_warbler,201,7.5,44,22.7,59.17,15.42,no,DNA_fingerprinting,CP,1990,1992,3,May,July,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,monogamy,biparental,mixed,NA,13,8,open,DNA_fingerprinting,no,3,0,Strong,Mono,Poly,10,34,15,186
380Marshall2007,Acrocephalus_schoenobaenus,sedge_warbler,403,8.4,85,18.8,51.45,-0.55,no,microsatellite,CP,1993,1998,6,May,July,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,monogamy,biparental,mixed,NA,13,8,open,microsatellite,no,6,0,Strong,Mono,Poly,16,69,34,369
334Davies2003,Acrocephalus_scirpaceus,Eurasian_reed-warbler,186,6.5,52,15.4,52.3,0.3,no,microsatellite,CP,2000,2001,2,May,July,Acrocephalus_scirpaceus,Acrocephalus_scirpaceus,Acrocephalus_scirpaceus,Acrocephalus_scirpaceus,monogamy,biparental,NA,no,12.88333333,5,open,microsatellite,no,2,1,Strong,NA,NA,8,44,12,174
