Lat_round,Long_round,n_study_identities,mixed_broods,total_broods,mixed_paternity
-77.52,167.77,1,1,13,0.07692307692307693
-74.35,165.13,1,2,18,0.1111111111111111
-71.88,5.17,1,3,41,0.07317073170731707
-63,-60.67,1,0,38,0
-61.22,-55.35,1,29,40,0.725
-55.07,-67.67,1,18,126,0.14285714285714285
-54.73,-68.2,1,7,52,0.1346153846153846
-54.5,158.95,1,1,13,0.07692307692307693
-54,-38,1,27,327,0.08256880733944955
-52.43,-59.08,1,0,14,0
-51.72,-61.29,1,0,63,0
-51.72,-61.28,1,7,34,0.20588235294117646
-49.25,69.53,1,2,24,0.08333333333333333
-47.75,-65.88,1,21,44,0.4772727272727273
-46.9,168.1,1,0,39,0
-46.87,37.68,1,39,194,0.20103092783505155
-46.42,51.75,1,6,50,0.12
-45.93,170.25,1,0,12,0
-45.87,170.5,1,26,98,0.2653061224489796
-45,168,1,1,54,0.018518518518518517
-44.35,-176.17,1,1,35,0.02857142857142857
-43.83,168.88,1,0,24,0
-43.8,-176.5,1,0,16,0
-43.1,147.42,1,9,83,0.10843373493975904
-43.08,-64.5,1,0,37,0
-42.68,148.02,1,0,6,0
-42.63,148.06,1,0,6,0
-41.08,174.27,1,0,37,0
-41.05,-62.8,1,0,49,0
-40.38,144.65,1,3,23,0.13043478260869565
-39.63,177.08,1,0,30,0
-39.38,175.13,1,0,10,0
-38.72,-62.27,1,1,68,0.014705882352941176
-38.38,141.6,1,4,27,0.14814814814814814
-38.08,176.28,1,50,61,0.819672131147541
-38.02,144.4,1,21,31,0.6774193548387096
-37.88,144.78,1,0,4,0
-37.8,144.95,1,14,70,0.2
-37.55,14.82,1,32,85,0.3764705882352941
-37.52,145.53,1,15,65,0.23076923076923078
-37.41,145.31,1,1,13,0.07692307692307693
-36.78,145.8,1,9,17,0.5294117647058824
-36.6,174.88,2,439,495,0.8868686868686869
-36.43,-56.94,1,13,40,0.325
-36.37,174.83,1,38,53,0.71698113207547165
-36.15,145.43,1,2,25,0.08
-35.62,138.03,1,10,12,0.8333333333333334
-35.57,-58.02,2,88,132,0.6666666666666666
-35.48,149.1,1,0,62,0
-35.45,149.28,1,16,25,0.64
-35.28,149.11,1,38,40,0.95
-35.27,149.1,3,1226,2054,0.5968841285296982
-35.27,149.12,1,3,47,0.06382978723404255
-35.27,149.15,2,6,76,0.07894736842105263
-35.13,-57.38,1,18,47,0.3829787234042553
-34.57,145.75,1,0,15,0
-34.35,139.48,1,66,120,0.55
-34.33,139.03,1,88,159,0.5534591194968553
-34,18.97,1,73,104,0.7019230769230769
-33.68,18.43,2,6,25,0.24
-33.43,25.75,2,87,234,0.3717948717948718
-32.63,-69.37,1,33,73,0.4520547945205479
-31.9,115.98,1,28,32,0.875
-31.67,-62.82,1,15,33,0.45454545454545453
-31.08,142.7,1,4,80,0.05
-31,-59,1,0,12,0
-31,142,1,2,78,0.02564102564102564
-30.88,14.5,1,15,60,0.25
-30.63,-71.67,1,29,140,0.20714285714285716
-30.54,149.38,1,11,60,0.18333333333333332
-30.42,151.63,1,8,29,0.27586206896551724
-28.88,24.89,1,0,20,0
-28.87,24.83,1,66,1275,0.05176470588235294
-28.05,-64.25,1,15,35,0.42857142857142855
-27.33,152.55,1,2,35,0.05714285714285714
-27.27,22.42,1,25,180,0.1388888888888889
-27.27,152.68,1,104,130,0.8
-26.97,21.82,1,12,41,0.2926829268292683
-24.07,-47.97,1,4,11,0.36363636363636365
-24.05,43.73,1,0,10,0
-23.43,151.9,1,0,53,0
-22.53,16.97,1,0,38,0
-22.5,-47.58,1,19,31,0.6129032258064516
-22.03,43.65,1,0,15,0
-21.62,165.75,1,6,36,0.16666666666666666
-21.08,31.92,1,12,37,0.32432432432432434
-20,46,1,0,12,0
-19.57,146.78,1,1,10,0.1
-18.17,-39.33,1,0,6,0
-17.52,126.1,1,15,217,0.06912442396313365
-17.37,125.75,1,158,231,0.683982683982684
-17,-56,1,2,20,0.1
-16.87,145.75,1,17,29,0.5862068965517241
-15.95,-47.93,1,7,11,0.6363636363636364
-15.93,-47.93,1,29,95,0.30526315789473685
-15.93,-47.92,1,1,33,0.030303030303030304
-15.77,-47.87,1,3,16,0.1875
-15.76,-47.86,1,3,46,0.06521739130434782
-15.75,-47.87,1,23,107,0.21495327102803738
-15.57,128,1,13,57,0.22807017543859648
-15.55,128,1,26,101,0.25742574257425743
-15.37,-75.2,1,0,21,0
-12.75,143.28,1,8,99,0.08080808080808081
-12.43,131,1,10,21,0.47619047619047616
-8.68,34.08,1,31,62,0.5
-4.32,55.65,1,18,45,0.4
-3.65,-79.77,1,1,28,0.03571428571428571
-3.42,38.33,1,74,137,0.5401459854014599
-1.4,36.8,1,6,6,1
-1.38,-89.62,3,30,187,0.16042780748663102
-1.33,-89.67,2,0,35,0
-0.37,36.08,1,4,65,0.06153846153846154
-0.35,-78.15,1,7,11,0.6363636363636364
-0.23,-90.7,1,0,10,0
-0.12,-77.92,1,6,10,0.6
0.12,37.87,1,37,208,0.1778846153846154
0.28,37.87,1,25,100,0.25
6,116,2,24,105,0.22857142857142856
8.2,-82.2,1,65,465,0.13978494623655913
8.7,-83.2,1,17,31,0.5483870967741935
9.08,-79.65,1,10,19,0.5263157894736842
9.12,-79.7,2,10,28,0.35714285714285715
9.12,-79.68,1,11,28,0.39285714285714285
9.17,-79.85,1,8,31,0.25806451612903225
9.2,-80,1,38,53,0.71698113207547165
9.22,-79.65,1,2,50,0.04
9.23,-79.5,1,13,74,0.17567567567567569
9.38,-67.7,1,1,34,0.029411764705882353
10.17,-79.7,1,1,31,0.03225806451612903
10.2,-84.7,1,8,37,0.21621621621621623
10.43,-83.98,1,16,28,0.5714285714285714
10.67,-85.5,2,8,101,0.07920792079207921
10.83,-85.62,1,16,26,0.6153846153846154
13.92,-60.92,1,4,30,0.13333333333333333
15.9,-23.98,1,1,63,0.015873015873015872
16.8,41.88,1,0,12,0
17.93,-67.1,1,11,30,0.36666666666666664
19,-70,1,0,41,0
19.12,-70.57,1,0,101,0
19.43,-155.3,1,7,13,0.5384615384615384
19.82,-155.47,1,0,12,0
20,-100,1,0,93,0
20,-87,1,7,23,0.30434782608695654
20,-76,1,11,24,0.4583333333333333
21.87,-105.9,1,48,453,0.10596026490066225
22,121.08,1,1,108,0.009259259259259259
22.13,-81.23,1,2,11,0.18181818181818182
23.65,107.07,1,3,13,0.23076923076923078
23.75,-166.02,2,5,138,0.036231884057971016
24.27,54.6,1,0,28,0
26.53,-78.53,1,10,20,0.5
27,-81,1,0,52,0
27.17,-81.35,1,0,60,0
27.33,-2.42,1,23,36,0.6388888888888888
28.17,115.45,1,44,69,0.6376811594202898
28.42,16.38,1,12,31,0.3870967741935484
30.48,91.1,1,1,75,0.013333333333333334
30.65,-84.2,1,24,59,0.4067796610169492
30.77,35.27,1,0,44,0
31.4,-97.8,1,2,36,0.05555555555555555
31.66,34.88,1,2,13,0.15384615384615385
31.85,-109.25,1,0,10,0
31.92,-109.25,1,32,51,0.6274509803921569
31.95,114.25,1,11,64,0.171875
32.08,34.78,1,17,47,0.3617021276595745
32.58,-16.47,1,0,15,0
32.6,-85.3,1,14,20,0.7
32.77,-79.98,1,3,18,0.16666666666666666
33.52,130.03,1,17,32,0.53125
33.68,-117,1,0,25,0
34,-98,1,5,36,0.1388888888888889
34.02,-119.77,1,8,52,0.15384615384615385
34.23,102.03,1,55,172,0.31976744186046513
34.5,-108,1,0,17,0
34.57,135.53,1,4,24,0.16666666666666666
34.6,102.5,1,113,286,0.3951048951048951
34.69,103.52,1,41,77,0.5324675324675324
34.74,-98.67,1,102,140,0.7285714285714285
34.75,-98.58,1,102,140,0.7285714285714285
34.77,-98.48,1,29,44,0.6590909090909091
34.82,-87.63,1,0,23,0
35,-83,2,53,201,0.263681592039801
35,24,1,0,29,0
35.2,-97.43,1,15,41,0.36585365853658536
35.22,139.88,1,19,71,0.2676056338028169
35.37,-76.36,1,7,19,0.3684210526315789
35.52,-79.45,1,1,44,0.022727272727272728
35.65,-118.03,1,12,56,0.21428571428571427
35.7,-83.2,1,16,56,0.2857142857142857
35.75,-78.92,1,0,16,0
35.88,-106.03,1,51,72,0.7083333333333334
35.88,-79.02,1,12,25,0.48
36,-100,1,31,56,0.5535714285714286
36,138,1,3,21,0.14285714285714285
36.37,-121.55,1,22,48,0.4583333333333333
36.37,-121.05,4,152,461,0.3297180043383948
36.71,-112.22,1,1,39,0.02564102564102564
36.72,35.05,1,3,73,0.0410958904109589
36.87,139.05,1,5,37,0.13513513513513514
36.92,-25.17,2,8,72,0.1111111111111111
37,-80,1,16,45,0.35555555555555557
37,-3,1,2,20,0.1
37.12,138.02,1,5,65,0.07692307692307693
37.17,-6.35,1,1,8,0.125
37.18,-3.05,1,2,10,0.2
37.22,-80.42,1,52,94,0.5531914893617021
37.3,-3.18,2,10,58,0.1724137931034483
37.37,-80.53,1,18,41,0.43902439024390244
37.53,127.03,1,13,50,0.26
37.6,-118.82,1,28,57,0.49122807017543857
37.62,-84.12,1,0,23,0
37.65,-84.12,1,3,19,0.15789473684210525
37.67,-118.83,1,2,10,0.2
37.7,-123,1,0,22,0
37.87,-3.92,1,7,47,0.14893617021276595
38,24.98,1,0,17,0
38.25,-120,1,23,60,0.38333333333333336
38.4,-26.96,1,0,19,0
38.57,-119.03,1,43,96,0.4479166666666667
38.83,-6.98,1,55,170,0.3235294117647059
38.9,-86.9,1,16,174,0.09195402298850575
39,-76,1,41,165,0.24848484848484848
39.05,-27.95,1,2,56,0.03571428571428571
39.08,-96.58,2,65,148,0.4391891891891892
39.23,-75.98,1,77,124,0.6209677419354839
39.3,-75.5,1,21,54,0.3888888888888889
39.4,141.99,1,17,113,0.1504424778761062
39.55,-4.33,1,26,47,0.5531914893617021
39.6,-79.3,1,26,59,0.4406779661016949
40,-82.88,1,2,9,0.2222222222222222
40,-3,1,71,189,0.37566137566137564
40.02,122.93,1,16,40,0.4
40.02,122.94,1,32,80,0.4
40.03,-88.17,1,46,64,0.71875
40.17,-8.55,1,0,21,0
40.2,-87.72,1,32,80,0.4
40.37,96.23,1,36,146,0.2465753424657534
40.5,-4,2,67,152,0.4407894736842105
40.63,-104.48,1,74,148,0.5
40.63,-8.68,1,6,102,0.058823529411764705
40.63,-4,1,5,54,0.09259259259259259
40.67,-88.88,2,166,507,0.32741617357001973
40.75,-3.78,1,66,341,0.1935483870967742
40.8,-4.02,3,53,177,0.2994350282485876
40.9,-4.02,2,52,129,0.40310077519379844
40.98,-124,1,6,41,0.14634146341463414
